"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\Code\Freelancing\Web_D\public\README.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 22, 57
"d:\Code\Freelancing\Web_D\public\package-lock.json", "JSON", 0, 23315, 0, 0, 0, 0, 0, 1, 23316
"d:\Code\Freelancing\Web_D\public\package.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 1, 57
"d:\Code\Freelancing\Web_D\public\public\index.html", "HTML", 0, 0, 0, 37, 0, 0, 2, 3, 42
"d:\Code\Freelancing\Web_D\public\src\App.js", "JavaScript", 0, 0, 328, 0, 0, 0, 21, 14, 363
"d:\Code\Freelancing\Web_D\public\src\components\css\aboutCss\OurRecognitions.css", "CSS", 0, 0, 0, 0, 88, 0, 1, 12, 101
"d:\Code\Freelancing\Web_D\public\src\components\css\aboutCss\aboutDescription.css", "CSS", 0, 0, 0, 0, 702, 0, 65, 110, 877
"d:\Code\Freelancing\Web_D\public\src\components\css\aboutCss\careerSection.css", "CSS", 0, 0, 0, 0, 165, 0, 2, 26, 193
"d:\Code\Freelancing\Web_D\public\src\components\css\commonComponentsCss\LogInPage.css", "CSS", 0, 0, 0, 0, 74, 0, 0, 13, 87
"d:\Code\Freelancing\Web_D\public\src\components\css\commonComponentsCss\Privacy_policy.css", "CSS", 0, 0, 0, 0, 48, 0, 0, 8, 56
"d:\Code\Freelancing\Web_D\public\src\components\css\commonComponentsCss\SignUpPage.css", "CSS", 0, 0, 0, 0, 71, 0, 0, 12, 83
"d:\Code\Freelancing\Web_D\public\src\components\css\commonComponentsCss\footer.css", "CSS", 0, 0, 0, 0, 188, 0, 16, 47, 251
"d:\Code\Freelancing\Web_D\public\src\components\css\commonComponentsCss\newNavbar.css", "CSS", 0, 0, 0, 0, 137, 0, 33, 24, 194
"d:\Code\Freelancing\Web_D\public\src\components\css\contactUsCss\contactUsDescription.css", "CSS", 0, 0, 0, 0, 218, 0, 14, 31, 263
"d:\Code\Freelancing\Web_D\public\src\components\css\homeCss\AllFeaturesComponent.css", "CSS", 0, 0, 0, 0, 131, 0, 7, 14, 152
"d:\Code\Freelancing\Web_D\public\src\components\css\homeCss\FeatureComponent.css", "CSS", 0, 0, 0, 0, 62, 0, 1, 10, 73
"d:\Code\Freelancing\Web_D\public\src\components\css\homeCss\HomeProductDisplay.css", "CSS", 0, 0, 0, 0, 214, 0, 3, 33, 250
